image_id,label,x1,y1,x2,y2
image_0001.jpg,water_glass,230,1580,419,1729
image_0001.jpg,house,608,1580,797,1729
image_0001.jpg,key,986,1580,1175,1729
image_0001.jpg,owl,1364,1580,1553,1729
image_0001.jpg,star,1742,1580,1931,1729
image_0001.jpg,roaster,2120,1580,2309,1729
image_0001.jpg,pen,230,1769,419,1918
image_0001.jpg,stick,608,1769,797,1918
image_0001.jpg,nepali_big_basket,986,1769,1175,1918
image_0001.jpg,nepali_madal,1364,1769,1553,1918
image_0001.jpg,woman_man,1742,1769,1931,1918
image_0001.jpg,ladder,2120,1769,2309,1918
image_0001.jpg,tree,230,1958,419,2107
image_0001.jpg,sun,608,1958,797,2107
image_0001.jpg,computer,986,1958,1175,2107
image_0001.jpg,farmer,1364,1958,1553,2107
image_0001.jpg,bus,1742,1958,1931,2107
image_0001.jpg,nepali_cap,2120,1958,2309,2107
image_0001.jpg,hammer_scythe,230,2147,419,2296
image_0001.jpg,hand_palm,608,2147,797,2296
image_0001.jpg,mother_and_child,986,2147,1175,2296
image_0001.jpg,balance,1364,2147,1553,2296
image_0001.jpg,water_jug,1742,2147,1931,2296
image_0001.jpg,wooden_wheel,2120,2147,2309,2296
image_0001.jpg,namaste,230,2336,419,2485
image_0001.jpg,heart,608,2336,797,2485
image_0001.jpg,tiger,986,2336,1175,2485
image_0001.jpg,conch,1364,2336,1553,2485
image_0001.jpg,hoe,1742,2336,1931,2485
image_0001.jpg,damphu,2120,2336,2309,2485
image_0001.jpg,turtle,230,2525,419,2674
image_0001.jpg,sheep,608,2525,797,2674
image_0001.jpg,dog,986,2525,1175,2674
image_0001.jpg,cycle,1364,2525,1553,2674
image_0001.jpg,loud_speaker,1742,2525,1931,2674
image_0001.jpg,lock,2120,2525,2309,2674
image_0001.jpg,nepali_jug,230,2714,419,2863
image_0001.jpg,lotus,608,2714,797,2863
image_0001.jpg,candle_light,986,2714,1175,2863
image_0001.jpg,umbrella,1364,2714,1553,2863
image_0001.jpg,nepali_small_basket,1742,2714,1931,2863
image_0001.jpg,torch_light,2120,2714,2309,2863
image_0001.jpg,invalid_stamp,1130,2139,1280,2289
image_0002.jpg,tiger,230,1580,419,1729
image_0002.jpg,nepali_jug,608,1580,797,1729
image_0002.jpg,nepali_small_basket,986,1580,1175,1729
image_0002.jpg,balance,1364,1580,1553,1729
image_0002.jpg,umbrella,1742,1580,1931,1729
image_0002.jpg,nepali_big_basket,2120,1580,2309,1729
image_0002.jpg,nepali_madal,230,1769,419,1918
image_0002.jpg,hoe,608,1769,797,1918
image_0002.jpg,roaster,986,1769,1175,1918
image_0002.jpg,hammer_scythe,1364,1769,1553,1918
image_0002.jpg,nepali_cap,1742,1769,1931,1918
image_0002.jpg,loud_speaker,2120,1769,2309,1918
image_0002.jpg,conch,230,1958,419,2107
image_0002.jpg,hand_palm,608,1958,797,2107
image_0002.jpg,water_glass,986,1958,1175,2107
image_0002.jpg,turtle,1364,1958,1553,2107
image_0002.jpg,house,1742,1958,1931,2107
image_0002.jpg,woman_man,2120,1958,2309,2107
image_0002.jpg,lock,230,2147,419,2296
image_0002.jpg,pen,608,2147,797,2296
